,id,price,time,exchange,quote_type,market_hours,change_percent,change,open_price,price_hint,currency,day_high,day_low
11268,^NSEI,22509.75,2026-03-30 07:22:43,NSI,9,1,-1.3578223,-309.8496,,2,,,
11269,^NSEI,22508.5,2026-03-30 07:22:44,NSI,9,1,-1.3632731,-311.0996,,2,,,
11270,^NSEI,22508.6,2026-03-30 07:22:46,NSI,9,1,-1.3628604,-311.0,,2,,,
11271,^NSEI,22509.7,2026-03-30 07:22:46,NSI,9,1,-1.3581103,-309.9004,,2,,,
11272,^NSEI,22510.25,2026-03-30 07:22:48,NSI,9,1,-1.3556609,-309.3496,,2,,,
11273,^NSEI,22510.45,2026-03-30 07:22:48,NSI,9,1,-1.35477,-309.1504,,2,,,
11274,^NSEI,22510.0,2026-03-30 07:22:50,NSI,9,1,-1.3566643,-309.5996,,2,,,
11275,^NSEI,22509.95,2026-03-30 07:22:50,NSI,9,1,-1.3569462,-309.6504,,2,,,
11276,^NSEI,22509.55,2026-03-30 07:22:51,NSI,9,1,-1.3586715,-310.04883,,2,,,
11277,^NSEI,22509.7,2026-03-30 07:22:52,NSI,9,1,-1.3580865,-309.9004,,2,,,
11278,^NSEI,22509.1,2026-03-30 07:22:53,NSI,9,1,-1.3606396,-310.5,,2,,,
11279,^NSEI,22509.0,2026-03-30 07:22:54,NSI,9,1,-1.3610822,-310.5996,,2,,,
11280,^NSEI,22510.1,2026-03-30 07:22:55,NSI,9,1,-1.3562931,-309.5,,2,,,
11281,^NSEI,22509.45,2026-03-30 07:22:56,NSI,9,1,-1.3591076,-310.1504,,2,,,
11282,^NSEI,22508.7,2026-03-30 07:22:57,NSI,9,1,-1.3624389,-310.9004,,2,,,
11283,^NSEI,22508.55,2026-03-30 07:22:58,NSI,9,1,-1.3630896,-311.04883,,2,,,
11284,^NSEI,22509.0,2026-03-30 07:22:59,NSI,9,1,-1.3611596,-310.5996,,2,,,
11285,^NSEI,22508.45,2026-03-30 07:23:00,NSI,9,1,-1.3635164,-311.1504,,2,,,
11286,^NSEI,22509.35,2026-03-30 07:23:02,NSI,9,1,-1.3595859,-310.25,,2,,,
11287,^NSEI,22509.8,2026-03-30 07:23:02,NSI,9,1,-1.3576266,-309.79883,,2,,,
11288,^NSEI,22508.1,2026-03-30 07:23:03,NSI,9,1,-1.3650217,-311.5,,2,,,
11289,^NSEI,22507.5,2026-03-30 07:23:05,NSI,9,1,-1.3676972,-312.0996,,2,,,
11290,^NSEI,22507.2,2026-03-30 07:23:05,NSI,9,1,-1.3689823,-312.4004,,2,,,
11291,^NSEI,22503.65,2026-03-30 07:23:07,NSI,9,1,-1.3845369,-315.94922,,2,,,
11292,^NSEI,22505.05,2026-03-30 07:23:07,NSI,9,1,-1.3784997,-314.54883,,2,,,
11293,^NSEI,22505.05,2026-03-30 07:23:08,NSI,9,1,-1.3784243,-314.54883,,2,,,
11294,^NSEI,22504.45,2026-03-30 07:23:09,NSI,9,1,-1.3810483,-315.1504,,2,,,
11295,^NSEI,22505.1,2026-03-30 07:23:11,NSI,9,1,-1.3782314,-314.5,,2,,,
11296,^NSEI,22504.7,2026-03-30 07:23:11,NSI,9,1,-1.3799316,-314.9004,,2,,,
11297,^NSEI,22504.4,2026-03-30 07:23:12,NSI,9,1,-1.3812473,-315.19922,,2,,,
11298,^NSEI,22504.75,2026-03-30 07:23:13,NSI,9,1,-1.3797393,-314.8496,,2,,,
11299,^NSEI,22504.1,2026-03-30 07:23:14,NSI,9,1,-1.3825864,-315.5,,2,,,
11300,^NSEI,22505.05,2026-03-30 07:23:15,NSI,9,1,-1.3784666,-314.54883,,2,,,
11301,^NSEI,22506.45,2026-03-30 07:23:16,NSI,9,1,-1.3723531,-313.1504,,2,,,
11302,^NSEI,22506.8,2026-03-30 07:23:17,NSI,9,1,-1.3707494,-312.79883,,2,,,
